speed,X,Y,Angle,accuracy
18,5.71,176.93,1.53,
18,-2.83,178.4,1.56,
18,4.05,177.1,1.52,
18,1.8,178.13,1.53,
18,-7.82,178.25,1.58,
22,3.22,178.55,1.54,
22,-0.19,178.3,1.56,
22,3.05,179.39,1.53,
22,3.71,178.96,1.54,
22,5.62,177.36,1.52,
22,-0.13,177.57,1.53,
22,1.41,176.75,1.55,
22,0.29,175.91,1.55,
22,1.61,177.71,1.52,
22,2.86,178.98,1.54,
22,3.29,178.55,1.55,
22,2.3,176.6,1.55,
22,4.23,178.5,1.53,
22,2.34,179.54,1.54,
22,0.33,180.4,1.56,
25,-1.04,179.14,1.58,
25,0.85,178.02,1.57,
25,-3.82,179.24,1.59,
25,-2.38,179.41,1.58,
25,0.72,180.27,1.56,
25,0.1,179.15,1.56,
25,-1.25,178.02,1.59,
25,-0.4,179.28,1.57,
25,-4.77,180.63,1.59,
25,1.01,182.37,1.56,
25,0.85,179.14,1.56,
25,-3.29,180.37,1.59,
25,-1.47,179.14,1.58,
25,-0.92,178.02,1.59,
25,-6.4,179.87,1.61,
30,-2.55,181.5,1.6,
30,-6.19,180.28,1.62,
30,-2.8,177.71,1.6,
30,-2.9,180.24,1.6,
30,-2.59,181.49,1.61,
30,3.92,181.62,1.55,
30,-1.05,179.7,1.56,
30,-5.15,179.34,1.62,
30,-0.39,181.67,1.58,
30,-2.2,179.97,1.6,
30,-2.43,180.66,1.59,
30,-0.77,179.69,1.61,
30,1.34,180.97,1.57,
30,-1.28,182.09,1.59,
30,-1.28,182.09,1.59,
40,-4.58,186.36,1.61,
40,-2.64,184.87,1.58,
40,-2.32,185.01,1.59,
40,-3.64,182.18,1.61,
40,-1.86,185.02,1.6,
40,-0.65,183.62,1.6,
40,-3.94,184.71,1.6,
40,-2.62,184.02,1.59,
40,-1.55,183.62,1.6,
40,-3.75,184.56,1.61,
40,-7.44,187.54,1.62,
40,-5.06,183.26,1.63,
40,-4.44,183.43,1.6,
40,-6.67,185.75,1.61,
40,-3.53,184.58,1.6,
50,-7.95,203.52,1.59,
50,-2.57,198.62,1.6,
50,-5.05,203.9,1.63,
50,0.53,195.84,1.57,
50,-2.54,195.53,1.61,
50,0.04,200.89,1.59,
50,0.26,199.21,1.58,
50,-0.25,195.14,1.56,
50,-3.62,194.54,1.58,
50,-1.82,198.07,1.56,
50,-0.87,193.59,1.56,
50,-3.49,203.9,1.48,
50,-2.76,193.86,1.59,
50,-3.87,196.08,1.56,
60,-4.65,218.5,1.61,
60,-6.3,215.34,1.67,
60,-5.4,216.79,1.6,
60,-3.42,213.6,1.57,
60,-8.43,216.39,1.66,
60,-5.52,216.79,1.61,
60,-5.23,217.34,1.63,
60,-6.14,215.37,1.61,
60,-4.37,216.54,1.6,
60,-7.38,215.45,1.64,
60,-15.65,217.63,1.69,
60,-7.67,215.3,1.62,
60,-13.58,204.33,1.64,
60,-10.32,205.15,1.7,
60,-6.52,216.47,1.63,
80,-12.67,272.32,1.64,
80,-10.71,244.93,1.62,
80,-10.63,292.93,1.63,
80,-11.13,247.7,1.66,
80,-8.14,271.27,1.64,
80,-14.03,292.36,1.66,
80,-16.1,309.85,1.65,
80,-3.92,263.26,1.57,
80,-13.05,246.52,1.64,
80,-14.89,270.88,1.71,
80,-12.37,275.36,1.6,
80,-11.74,247.96,1.65,
80,-14.19,246.02,1.63,
80,-8.04,251.22,1.61,
80,-9.31,246.96,1.62,
